donor,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,3170905925.68,5164392339,3871432554.3,3726006783.34,3385914124.85,4031959322.72,6642544918.32,7316628836.96,6107120910.2,4596339720.73,3657599620.03,5291655837.09,5282287421.49,4004887029.51,4406895033.34,4864728248.71,8650868945.5,8403736734.94,4994726422.59,13756034841.81,10862738719.66,10856557715.82,12496267390.79,6738843964.36,11797923012.39,3830580522.55,6165201865.79,12010885426.33,6900593113.94,7799545925.58,8016605383.61,7324741269.54,10889244378.8,10963800829.55,12106248522.34,14397639014.31,10884600555.66,,
(GAVI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995149948.14,749920288.09,530117660,,
(GEF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9570134.73,315743542.32,145005161.04,340307736.09,181143138,394642441.06,410890679.61,499436921.35,674060833.89,558871302.55,688463578.38,714308079.64,469382111.97,757373409.99,828873789.4,765464321.39,832732266.33,858946580.01,1325572727,527084612.14,
(GFATM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198886377.75,2815060418.94,2314159030.54,3085884327.74,1377044228.38,975481206,1028220885.86,2535229028,2192623962.99,524875861.14
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208731732.39,360478471.93,217315078.16,257720766.65,236537116.23,268146213.04,306885865.84,296944844.99,,
HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299575.47,4541283.63,6003790.6,2133542.4,2664884.52,7924377.46,,,
ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16496.48,,50364.5,143512.72,4729498.24,4130175.37,2122687.54,656201.61,26023.3,1256206.94,6430705.5,5356940.36,1688169.93,175903.09,666315.03,3408553.91,8955398.44,4697043.63,5913439.59,31461369,,
IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420887376.68,149917950.59,360099614.09,1393403486.36,1399558875.24,519824661.18,
(IADB),,,,,,,,,,,,,,,,,,,,,,,,3887978973.14,3723542366.69,4250379747.02,4115334949.72,4807993636.17,5074093654.07,5488081741.92,6026441905.11,6469543511.71,5631322781.06,5775630519.05,6181868152.07,6940492480.09,7698355950.72,9073189285.64,7803213194.75,6328716829.09,4314957930.93,3031970817.2,4581556188.5,5878409816.97,8060052138.98,8453405538.93,8710228286.28,7356074549.41,9167330831.58,9242612429.59,9381248152.48,15658495449.23,14310739663.52,8999957693.85,13185733109.09,6812570870.38,9030065978.13,7731246227.53,8427680826.17,7806596874.57,11391405313.16,,,,
(IFAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332620253.8,993310667.33,924300453.96,914967007.61,822745022.26,707224216.84,536416996.13,346375879.7,308985730.59,261442258.98,380928472.63,444853467.84,468352949.5,406259580.73,454092231.32,529847272,467476757.68,499502156.15,549611965.71,567836721.2,595245157.79,615115930.64,616663707.93,648427779.05,544927995.45,534076002.52,552438796.1,548189373.44,535053722.73,561068239.8,551039131.56,601616000,,
