donor,recipient,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,81834.72,,217140.73,,2418593.57,1992458.41,,,,,,,,,,,,,,,,,5084347.87,4808802.76,6810272.11,469258.08,136291.64,5452587.15,12387401.96,22875421.56,11828590.65,25052183.22,22135917.24,12426136.36,35730997.07,151134876.85,96669370.92,,
AUS,"Africa, regional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979600.51,,,,611144.78,578965.12,,,,,,1873196.42,910335.11,,,481490.89,6555721,,,,81267.91,3096525.79,7328372,6852252.24,57722425.98,,
AUS,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30418.55,,,,,,,11759.34,15625,,
AUS,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20675.88,269146.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2226788.94,,,,,3549428.01,3975882.69,2873532.54,1313348.61,1341467.5,1089198.14,,,,67711.18,31959.29,114362.55,,,,,
AUS,AIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40719.86,,,,,
AUS,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11136.85,,,,2861.04,,,,,,,
AUS,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487.85,48428.4,63077.57,51441.28,,,,,,50377.03,117539.06,,
AUS,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24832.76,,,,,,,,
AUS,"Asia, regional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,651422.19,,,,,5382932.27,,,,,,,,,,,,,1836457.51,3139566.61,,2213353.98,11494.13,1411716.59,34072.91,,,,,388147.19,1927601.73,14026158.94,20256441.4,15787567.53,35506325.86,,
AUS,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9131.23,128744.33,,,,,
AUS,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,67280418.91,80505666.45,49434258.96,19834908.88,96603534.64,49655951.37,33559901.31,42247943.87,28808733.99,45348018.1,22472657.24,19814313.03,32780384.87,19253393.28,18331579.95,47115806.27,28334283.87,63622.54,11967806.98,15008086.39,19069774.75,14746999.81,30120279.83,49795804.95,19471056.49,31677387.77,18912149.37,48744674.81,40044262.56,34641617.7,19377173.76,38337879.86,20031169.74,6408489.24,53465982.64,82319351.69,7670153.45,,
AUS,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40954.85,67130.58,,18376.24,2861.04,,283336.45,,,1250,,
AUS,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60047.13,,,,,
AUS,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,65467.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,376439.73,114051.76,,565283.36,497739.55,602597.18,375119.48,608271.35,1247131.35,1458823.8,140806.12,20841.22,23395.28,289384.74,17212.75,151953.79,67158.77,,805693.89,693828.68,646433.05,926608.2,813163.27,4352152.89,,51661.44,3279074.64,423601.48,1847481.9,2149989.94,1402898.74,1140599.61,1181580.6,1416993.76,280290.52,5094196.45,2536236.77,,
AUS,"Bilateral, unspecified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3612343.3,,,,,,,,8855850.14,,,1618526.29,173053.31,20720344.9,3409459.23,86470213.9,5977531.34,,909735497.93,11891827.06,39360479.13,27199506.97,154559364.46,69515616.4,186202508.93,106043494.89,100786662.17,426580729.63,292234927.95,328105192.37,697672017.39,817799426.26,,
AUS,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230994.63,12586.98,,,,,,,,,,
AUS,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26222.88,,,,,,23358.93,11759.34,15625,,
